combine	dd	mar
511650_159513	9.470785662373913	6.547977520273893
511650_159632	11.226756483699562	6.547977520273893
511650_159659	10.876351224333568	6.547977520273893
511650_159660	10.968061418858062	6.547977520273893
511650_159696	10.009870676783136	6.547977520273893
511650_159941	8.303855473548058	40.102221774562366
511650_161130	17.674740310136798	10.920821674941985
511650_270042	21.754601957245782	16.798827616098794
511650_513100	8.273249785295794	52.324628380410246
511650_513110	11.320767650846534	6.547977520273893
511650_513290	9.358366714247111	6.547977520273893
511650_513300	11.890094019722616	7.758138724640616
511650_513390	11.14425017966498	6.547977520273893
511650_513870	10.139711274765844	6.547977520273893
511700_000055	14.599746218320341	17.023609060918492
511700_000834	17.25066442986515	14.108733449418967
511700_003722	14.156054490531607	14.136864180403306
511700_006479	12.605054137433171	10.47563190382164
511700_006480	12.437405186259024	13.909801398151341
511700_008971	7.944634594618871	6.443974278748491
511700_012870	8.428304960650626	8.595494360885493
511700_012871	8.027815793233872	9.270038570372742
511700_014978	8.742157545338411	7.017481928719699
511700_015299	8.713960816170028	7.102331603145997
511700_015300	8.660911590344728	7.115161211199139
511700_015518	8.224200509259774	8.294271335329986
511700_016055	8.904298239482912	6.443974278748491
511700_016056	8.669223959919174	6.779917065198951
511700_016057	8.848849802439382	6.443974278748491
511700_016058	8.61522415757325	6.808793068019449
511700_016532	8.99146958041192	6.443974278748491
511700_016533	8.942152460926089	6.443974278748491
511700_016534	8.856166487236528	6.443974278748491
511700_016535	8.808399053532595	6.443974278748491
511700_017091	10.156419916374528	6.443974278748491
511700_017092	10.049990513450954	6.443974278748491
511700_017093	10.075113313978969	6.443974278748491
511700_017894	7.4671707197633665	6.443974278748491
511700_017895	7.444511502702309	6.443974278748491
511700_017951	7.376800430543386	6.443974278748491
511700_017952	7.376800430543386	6.443974278748491
511700_018966	7.804126606412505	6.443974278748491
511700_018967	7.7676052800905655	6.443974278748491
511700_018968	7.861707675650016	6.443974278748491
511700_018969	7.861707675650016	6.443974278748491
511700_019118	8.796352441962526	6.443974278748491
511700_019524	7.778801599108971	6.443974278748491
511700_019525	7.752676854732693	6.443974278748491
511700_019547	7.614055762123869	6.443974278748491
511700_019548	7.584198911408123	6.443974278748491
511700_021773	6.972930501992648	6.443974278748491
511700_021838	7.109407969523579	6.443974278748491
511700_022664	6.844920096147826	6.443974278748491
511700_024237	6.921842435858348	6.443974278748491
511700_040046	19.81933436020259	16.54135850857412
511700_040047	17.72769268878941	19.91601847896116
511700_040048	17.72769268878941	19.91601847896116
511700_159501	8.284768587131172	6.443974278748491
511700_159509	8.884038233640084	6.443974278748491
511700_159513	7.804659764461	6.443974278748491
